price,status,items_sold,shipping,name,free_returns
3900,Brand New,,4000,Adidas Brazuca Football | Official Match Ball | World Cup 2014 Soccer | No.5,False
3900,Brand New,,4000,Adidas Brazuca Final Rio | Official Match Football | FIFA World Cup Soccer 2014,False
20000,Brand New,,0,Adidas FINALE CARDIFF KIYA MILANO ISTANBUL LISBON TSUBASA BRAZUCA CHAMPION LEAGU,False
36900,Brand New,,2200,Adidas BRAZUCA final Rio Winter  OMB FIFA World Cup BRASIL 2014 size 5 with box,False
34900,Brand New,,2200,Adidas BRAZUCA  Winter OMB FIFA World Cup BRASIL 2014 size 5 without box,False
6000,Brand New,,0,Brazuca FIFA Soccer 2014 World cup re-issue Match Foot Ball Size 5,False
3999,Brand New,,1999,ADIDAS BRAZUCA WORLD CUP 2014  SOCCER MATCH BALL SIZE 5 A+,False
6998,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5.`,False
6999,Brand New,,0,Adidas Brazuca Official Final RIO Soccer Match Ball -FIFA World Cup 2014,False
7498,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 .`,False
7998,Brand New,,3999,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5.`@,False
1998,Brand New,,5999,adidas Brazuca 2014 World Cup Brazil FIFA Official Match Ball Soccer Size 5 ~`,False
9998,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5.`_,False
4199,Brand New,,0,Adidas Brazuca Official Soccer Match Ball FIFA World Cup 2014 Size 5 Top Quality,False
3500,Brand New,,900,ADIDAS BRAZUCA OFFICIAL SOCCER MATCH BALL FIFA WORLD CUP 2014 BRAZIL SIZE 5,False
3900,Brand New,,4000,Adidas Brazuca Football | Official Match Ball | World Cup 2014 Soccer | No.5,False
3999,Brand New,,2999,"Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 ,⚽",False
6998,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5.`.,False
5998,Brand New,,999,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 ⚽⚽,False
6898,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5.`*,False
7998,Brand New,,0,"Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 ⚽,",False
6498,Brand New,,999,adidas Brazuca 2014 World Cup Brazil FIFA Official Match Ball Soccer Size 5 🥅,False
7498,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 .,False
7498,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 ,False
3998,Brand New,,2999,"Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 ,⚽🌹⚽",False
7998,Brand New,,3999,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5.`,False
6499,Brand New,,999,adidas Brazuca 2014 World Cup Brazil FIFA Official Match Ball Soccer Size 5🏐🏟️,False
6498,Brand New,,999,adidas Brazuca 2014 World Cup Brazil FIFA Official Match Ball Soccer Size 5🏟️,False
7498,Brand New,,0,adidas Brazuca 2014 World Cup Brazil FIFA Official Match Ball Soccer Size 5,False
3998,Brand New,,3999,adidas Brazuca 2014 World Cup Brazil FIFA Official Match Ball Soccer Size 5⚽⚽🏟️,False
5998,Brand New,,999,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 ⚽,False
7498,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 °,False
,,,,,False
5362,New (Other),,0,BRAZUCA  BRAZIL Official Match Football  SIZE 5 Air-Filled Gift WORLD CUP 2014,False
3700,Brand New,,4000,Adidas Brazuca Football | Official Match Ball | World Cup 2014 Soccer | No.5,False
3400,Brand New,,1200,ADIDAS BRAZUCA FOOTBALL World Cup 2014 SOCCER Match Thermal Bonded Ball Size 5,False
7999,New (Other),,2299,Adidas Brazuca Official Final RIO Soccer Match Ball - FIFA World Cup 2014,False
3900,Brand New,,399,ADIDAS BRAZUCA OFFICIAL FINAL SOCCER MATCH BALL FIFA WORLD CUP 2014 FOOTBALL,False
3700,Brand New,,4000,Adidas Brazuca Final Rio | Official Match Football | FIFA World Cup Soccer 2014,False
3600,Brand New,,4000,ADIDAS  Brazuca Football | Official Match Ball | World Cup 2014 Soccer | size.5,False
5299,Brand New,,1500,Size 5 Adidas Brazuca FIFA World Cup 42mn Soccer Official 2014 Replica Football,True
6500,Brand New,,4500,ADIDAS BRAZUCA OFFICIAL SOCCER MATCH BALL | FIFA WORLD CUP 2014 ORIGINAL REPLICA,False
4175,Brand New,,2243,Adidas Brazuca Glider Training Ball World Cup Brazil Black Size 5 Grass,False
4270,Brand New,,0,ADDIDAS BRAZUCA WORLD CUP BRASIL 2014 SOCCER FIFA BALL SIZE 5 OFFICIAL,False
32900,Brand New,,2200,Adidas BRAZUCA final Rio OMB FIFA World Cup BRASIL 2014 size 5,False
77799,Brand New,,0,Adidas Brazuca 2014 FIFA World Cup Tournament Official Match Ball 2 Set size 5 ,False
3700,Brand New,,4000,Adidas Brazuca Football | Official Match Ball | World Cup 2014 Soccer | No.5,False
3900,Brand New,,4000,Adidas Brazuca Football | Official Match Ball | World Cup 2014 Soccer | No.5,False
3900,Brand New,,4000,Adidas Brazuca Final Rio | Official Match Football | FIFA World Cup Soccer 2014,False
20000,Brand New,,0,Adidas FINALE CARDIFF KIYA MILANO ISTANBUL LISBON TSUBASA BRAZUCA CHAMPION LEAGU,False
36900,Brand New,,2200,Adidas BRAZUCA final Rio Winter  OMB FIFA World Cup BRASIL 2014 size 5 with box,False
34900,Brand New,,2200,Adidas BRAZUCA  Winter OMB FIFA World Cup BRASIL 2014 size 5 without box,False
6000,Brand New,,0,Brazuca FIFA Soccer 2014 World cup re-issue Match Foot Ball Size 5,False
3999,Brand New,,1999,ADIDAS BRAZUCA WORLD CUP 2014  SOCCER MATCH BALL SIZE 5 A+,False
6998,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5.`,False
6999,Brand New,,0,Adidas Brazuca Official Final RIO Soccer Match Ball -FIFA World Cup 2014,False
7498,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 .`,False
7998,Brand New,,3999,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5.`@,False
1998,Brand New,,5999,adidas Brazuca 2014 World Cup Brazil FIFA Official Match Ball Soccer Size 5 ~`,False
9998,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5.`_,False
4199,Brand New,,0,Adidas Brazuca Official Soccer Match Ball FIFA World Cup 2014 Size 5 Top Quality,False
3500,Brand New,,900,ADIDAS BRAZUCA OFFICIAL SOCCER MATCH BALL FIFA WORLD CUP 2014 BRAZIL SIZE 5,False
3900,Brand New,,4000,Adidas Brazuca Football | Official Match Ball | World Cup 2014 Soccer | No.5,False
3999,Brand New,,2999,"Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 ,⚽",False
6998,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5.`.,False
5998,Brand New,,999,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 ⚽⚽,False
6898,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5.`*,False
7998,Brand New,,0,"Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 ⚽,",False
6498,Brand New,,999,adidas Brazuca 2014 World Cup Brazil FIFA Official Match Ball Soccer Size 5 🥅,False
7498,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 .,False
7498,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 ,False
3998,Brand New,,2999,"Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 ,⚽🌹⚽",False
7998,Brand New,,3999,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5.`,False
6499,Brand New,,999,adidas Brazuca 2014 World Cup Brazil FIFA Official Match Ball Soccer Size 5🏐🏟️,False
6498,Brand New,,999,adidas Brazuca 2014 World Cup Brazil FIFA Official Match Ball Soccer Size 5🏟️,False
7498,Brand New,,0,adidas Brazuca 2014 World Cup Brazil FIFA Official Match Ball Soccer Size 5,False
3998,Brand New,,3999,adidas Brazuca 2014 World Cup Brazil FIFA Official Match Ball Soccer Size 5⚽⚽🏟️,False
5998,Brand New,,999,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 ⚽,False
7498,Brand New,,0,Adidas Brazuca Official Match Ball FIFA World Cup 2014 Soccer Ball Size 5 °,False
